id,role,skills,category,title,difficulty,tags,answer_explanation,answer_code
241,Machine Learning Engineer (ML),Python,Fundamentals,Explain feature selection vs feature extraction.,medium,"{Python,Fundamentals}","Feature selection involves choosing a subset of the original features based on their relevance and contribution to the model's performance, aiming to reduce dimensionality, remove noisy data, and improve interpretability (e.g., Recursive Feature Elimination, L1 regularization). Feature extraction, conversely, transforms the original features into a new, smaller set of features, often linear combinations of the originals, capturing the most important information while reducing dimensionality (e.g., PCA, LDA). Feature selection keeps original features, while extraction creates new ones.","from sklearn.decomposition import PCA
from sklearn.feature_selection import SelectKBest"
242,Deep Learning Engineer,Python,Fundamentals,"What is gradient descent? How do variants differ (SGD, Adam, RMSProp)?",hard,"{Python,Fundamentals}","Gradient Descent is an iterative optimization algorithm that minimizes a function by moving in the direction of the steepest descent, determined by the negative of the gradient. Variants differ in how they update weights: Stochastic Gradient Descent (SGD) uses a single training example per update, making it faster but noisier. RMSProp adapts the learning rate for each parameter by dividing it by an exponentially decaying average of squared gradients. Adam (Adaptive Moment Estimation) combines the advantages of RMSProp and momentum, using exponentially decaying averages of past gradients and squared gradients, making it generally robust and efficient for various deep learning tasks.","# Conceptual update rule for SGD:
# W = W - learning_rate * dW_i"
243,Machine Learning Engineer (ML),Python,Fundamentals,Explain overfitting and methods to reduce it (ML + DL).,medium,"{Python,Fundamentals}","Overfitting occurs when a model learns the training data and its noise too precisely, performing well on training data but poorly on unseen data due to high variance. To reduce it in ML: use more data, employ regularization (L1/L2), early stopping, cross-validation, and feature selection. For DL specifically, additional methods include dropout (randomly disabling neurons during training), batch normalization (normalizing layer inputs), and data augmentation (creating new training samples by transforming existing ones).","import tensorflow as tf
# For DL:
# model.add(tf.keras.layers.Dropout(0.3))"
244,Generative AI Engineer (GenAI),Python,Fundamentals,Difference between generative vs discriminative models.,medium,"{Python,Fundamentals}","Generative models learn the joint probability distribution P(X, Y) of the data and its labels, enabling them to generate new data samples similar to the training data (e.g., GANs, VAEs). Discriminative models, on the other hand, directly learn the conditional probability P(Y|X) to classify or predict labels based on input features, focusing on finding decision boundaries without understanding the underlying data distribution (e.g., Logistic Regression, SVMs, standard Neural Networks).",""
245,Machine Learning Engineer (ML),Python,Fundamentals,What is ensemble learning? Explain Bagging vs Boosting vs Stacking.,hard,"{Python,Fundamentals}","Ensemble learning combines multiple individual models (base learners) to achieve better predictive performance and robustness than any single model. Bagging (e.g., Random Forest) trains models independently on different bootstrapped subsets of data and averages their predictions to reduce variance. Boosting (e.g., AdaBoost, XGBoost) trains models sequentially, where each new model focuses on correcting the errors of previous ones, primarily reducing bias. Stacking trains a meta-model to learn how to best combine the predictions from several diverse base models, often leading to very high performance.","from sklearn.ensemble import RandomForestClassifier, GradientBoostingClassifier, StackingClassifier"
246,Machine Learning Engineer (ML),Python,Fundamentals,Why is XGBoost so powerful? Explain mathematically.,hard,"{Python,Fundamentals}","XGBoost is powerful due to its optimized gradient boosting framework. Mathematically, it uses a second-order Taylor expansion of the loss function to include both first and second derivatives (gradient and Hessian), providing more precise steps towards the minimum compared to standard gradient boosting. It also incorporates regularization (L1 and L2) directly into the objective function to prevent overfitting, handles missing values, and supports parallel processing, making it robust and efficient.","# Objective function:
# Obj = Sum(l(yi, F(xi))) + Sum(Omega(fk))
# where Omega(fk) = gamma*T + lambda*||w||^2 + alpha*||w||_1 (regularization)"
247,Machine Learning Engineer (ML),Python,Fundamentals,"How does decision tree splitting work (Gini, entropy)?",medium,"{Python,Fundamentals}","Decision trees split nodes by selecting the feature and threshold that best separate the data into purer subsets, aiming to maximize information gain or minimize impurity. Gini impurity measures the probability of misclassifying a randomly chosen element from the set if it were randomly labeled according to the distribution of labels in the subset (lower is better). Entropy quantifies the disorder or uncertainty in a set of examples; the goal is to choose splits that result in the largest reduction in entropy, known as Information Gain.","from sklearn.tree import DecisionTreeClassifier
# model = DecisionTreeClassifier(criterion='gini')"
248,Machine Learning Engineer (ML),Python,Fundamentals,Explain SVM kernel trick.,medium,"{Python,Fundamentals}","The SVM kernel trick allows Support Vector Machines to efficiently classify non-linearly separable data by implicitly mapping it into a higher-dimensional feature space where it can become linearly separable, without explicitly computing the coordinates in that high-dimensional space. Kernel functions (e.g., RBF, polynomial, sigmoid) compute the dot product between transformed feature vectors in the higher dimension, drastically reducing computational cost and making complex decision boundaries feasible.","from sklearn.svm import SVC
# model = SVC(kernel='rbf')"
249,Data Scientist,Python,Fundamentals,What is curse of dimensionality?,easy,"{Python,Fundamentals}","The curse of dimensionality refers to various problems that arise when analyzing and organizing data in high-dimensional spaces. As the number of features or dimensions increases, the data becomes increasingly sparse, making it exponentially harder to find meaningful patterns, compute distances, and leading to increased computational costs, higher risk of overfitting, and the need for significantly more data to maintain statistical significance.",""
250,Machine Learning Engineer (ML),Python,Fundamentals,Explain Maximum Likelihood Estimation and MAP estimation.,hard,"{Python,Fundamentals}","Maximum Likelihood Estimation (MLE) finds the parameters that maximize the likelihood of observing the given data, assuming the data follows a specific probability distribution, focusing purely on the observed data. Maximum A Posteriori (MAP) estimation extends MLE by incorporating a prior probability distribution over the parameters, finding the parameters that maximize the posterior probability. MAP combines the data's likelihood with prior beliefs about the parameters, often leading to more stable estimates, especially with limited data, by penalizing extreme parameter values if the prior suggests they are unlikely.","# MLE: argmax(theta) P(Data | theta)
# MAP: argmax(theta) P(theta | Data) = argmax(theta) P(Data | theta) * P(theta)"
251,Machine Learning Engineer (ML),Python,Fundamentals,What’s the difference between parametric and non-parametric models?,medium,"{Python,Fundamentals}","Parametric models assume a fixed, finite number of parameters and a specific functional form for the relationship between input and output variables (e.g., Linear Regression assumes a linear relationship). They are simpler, faster, but less flexible. Non-parametric models, conversely, do not assume a fixed structure or number of parameters, allowing their complexity to grow with the data (e.g., K-Nearest Neighbors, Decision Trees, SVMs). They are more flexible and can capture complex relationships but often require more data and computation, and are prone to overfitting.","from sklearn.linear_model import LinearRegression # Parametric
from sklearn.neighbors import KNeighborsRegressor # Non-parametric"
290,Full Stack Developer,React,Fundamentals,Explain critical rendering path in the browser.,medium,"{HTML,Fundamentals}","The Critical Rendering Path (CRP) is the sequence of steps a browser takes to convert HTML, CSS, and JavaScript into pixels on the screen. It involves constructing the DOM and CSSOM trees, combining them into a Render Tree, then performing Layout (reflow) and Paint (rasterization) to display content.",
49,Backend Developer,"Python, Django, FastAPI",Fundamentals,Explain RESTful APIs and HTTP methods. (1),medium,"{Python,REST,API}","RESTful APIs use standard HTTP methods (GET, POST, PUT, DELETE) to interact with resources.",
50,Backend Developer,"Python, Django, FastAPI",Coding,Write a Python function to check for prime numbers. (1),medium,"{Python,Algorithms}",Simple prime checking using a for loop.,"def is_prime(n):
  for i in range(2, n):
    if n % i == 0:
      return False
  return True"
252,Deep Learning Engineer,Python,Fundamentals,Explain backpropagation step-by-step.,medium,"{Python,Fundamentals}","Backpropagation is an algorithm used to train artificial neural networks by calculating the gradient of the loss function with respect to the weights of the network. It involves a forward pass to compute the output and loss, followed by a backward pass that uses the chain rule to propagate the error gradient backward through the network, updating weights to minimize the loss.",
253,Deep Learning Engineer,Python,Fundamentals,"Difference between CNN, RNN, LSTM, GRU.",medium,"{Python,Fundamentals}","CNNs (Convolutional Neural Networks) excel at processing grid-like data like images by learning spatial hierarchies of features. RNNs (Recurrent Neural Networks) are designed for sequential data, processing one element at a time and maintaining internal state. LSTMs (Long Short-Term Memory) and GRUs (Gated Recurrent Units) are advanced RNN variants that solve the vanishing gradient problem in long sequences by using gating mechanisms to control information flow.",
254,Deep Learning Engineer,Python,Fundamentals,Why do we need positional embeddings in transformers?,medium,"{Python,Fundamentals}","Transformers process input tokens in parallel, meaning they lack an inherent understanding of the sequence order. Positional embeddings inject information about the relative or absolute position of tokens within the sequence, allowing the model to distinguish between tokens based on their location and understand grammatical structure or temporal relationships.",
255,Deep Learning Engineer,Python,Fundamentals,Explain self-attention mathematically.,hard,"{Python,Fundamentals}","Self-attention computes output for each input token by taking a weighted sum of all input tokens, where the weights are determined by a 'compatibility' function. Mathematically, it involves queries (Q), keys (K), and values (V) derived from input embeddings. The attention score is calculated as Softmax((Q * K^T) / sqrt(d_k)) * V, effectively weighting the 'value' representations based on their relevance to the 'query'.",
256,Deep Learning Engineer,Python,Fundamentals,What is multi-head attention?,medium,"{Python,Fundamentals}","Multi-head attention allows the model to jointly attend to information from different representation subspaces at different positions. It does this by independently running the self-attention mechanism multiple times ('heads') with different learned linear projections of Q, K, and V. The outputs from these heads are then concatenated and linearly projected back to the desired dimension.",
257,Deep Learning Engineer,Python,Fundamentals,Explain layer normalization vs batch normalization.,medium,"{Python,Fundamentals}","Batch Normalization normalizes activations across the batch dimension for each feature, which is effective for training deep networks but sensitive to batch size. Layer Normalization, conversely, normalizes across the feature dimension for each individual sample, making it robust to varying sequence lengths and suitable for architectures like Transformers and RNNs where batch statistics can be unreliable.",
258,Deep Learning Engineer,Python,Fundamentals,What is vanishing/exploding gradients? How to fix them?,medium,"{Python,Fundamentals}","Vanishing gradients occur when gradients become extremely small during backpropagation, preventing deep layers from learning, while exploding gradients occur when they become excessively large, leading to unstable training. Fixes include using ReLU activations, careful weight initialization (He, Xavier), gradient clipping (for exploding), residual connections, and specialized architectures like LSTMs/GRUs (for vanishing).",
259,Deep Learning Engineer,Python,Fundamentals,Why do transformer models scale better than RNNs?,medium,"{Python,Fundamentals,""System Design""}","Transformers scale better due to their parallelizable self-attention mechanism, which allows processing all tokens simultaneously, unlike RNNs' sequential processing. This parallelism, combined with direct access to global context and reduced vanishing gradient issues over long sequences, enables efficient training on large datasets and distributed hardware, leading to superior performance on complex tasks.",
260,Deep Learning Engineer,Python,Fundamentals,Explain dropout and why it works (theory).,medium,"{Python,Fundamentals}","Dropout is a regularization technique where a random subset of neurons are temporarily 'dropped out' (ignored) during training. This prevents neurons from co-adapting too much to specific features, forcing the network to learn more robust and redundant representations. Theoretically, it can be seen as training an ensemble of many thinned networks, which collectively lead to better generalization.",
261,Deep Learning Engineer,Python,Fundamentals,What are residual connections? Why are they important?,medium,"{Python,Fundamentals}","Residual connections (skip connections) allow the input from a previous layer to be added directly to the output of a subsequent layer, bypassing one or more layers. They are crucial because they mitigate the vanishing gradient problem, enable the training of much deeper neural networks by facilitating gradient flow, and allow the network to learn 'residual' mappings which are often easier to optimize than direct mappings.",
291,Full Stack Developer,React,Fundamentals,"What are Web Components and how do Shadow DOM, Custom Elements, Templates work?",medium,"{HTML,Fundamentals}","Web Components are a set of W3C standards for creating reusable, encapsulated custom HTML tags. Custom Elements define new tags, Shadow DOM provides scoped styling and markup encapsulation, and HTML Templates (`<template>` and `<slot>`) define inert reusable markup structures.",
292,Full Stack Developer,React,Fundamentals,Difference between <script defer> vs <script async> — internal working?,medium,"{HTML,JavaScript,Fundamentals}","`async` scripts are downloaded in parallel with HTML parsing and executed as soon as they're available, without blocking parsing. `defer` scripts are also downloaded in parallel but executed only after HTML parsing is complete, and crucially, in the order they appear in the document.",
293,Full Stack Developer,React,Fundamentals,How browser parses HTML? (Tokenization + Tree construction),medium,"{HTML,Fundamentals}","The browser parses HTML in two main phases: Tokenization, where it breaks the HTML input into tokens (e.g., `<html>`, `<body>`), and Tree Construction, where it builds the DOM tree from these tokens, adding elements and text nodes in a parent-child hierarchy.",
262,Generative AI Engineer (GenAI),Python,Fundamentals,"Difference between GPT, BERT, LLaMA, T5 architectures.",medium,"{Python,Fundamentals}","GPT and LLaMA are decoder-only, generative models primarily used for text generation, pre-trained with a causal language modeling objective. BERT is an encoder-only model, pre-trained bidirectionally for understanding tasks like classification. T5 is an encoder-decoder model, framing all NLP tasks as text-to-text problems.",
263,Generative AI Engineer (GenAI),Python,Fundamentals,What is tokenization? How does BPE work?,easy,"{Python,Fundamentals}","Tokenization is the process of breaking down raw text into smaller units (tokens) for a model to process. Byte Pair Encoding (BPE) works by iteratively merging the most frequent adjacent byte pairs in a text corpus, creating new subword tokens until a predefined vocabulary size is reached or no more merges are beneficial.","Example: ['a', 'b', 'c', 'b', 'c', 'd'] -> Merge 'b', 'c' -> ['a', 'bc', 'bc', 'd']"
264,Generative AI Engineer (GenAI),Python,Fundamentals,Explain causal vs bidirectional attention.,medium,"{Python,Fundamentals}","Causal attention (used in decoder-only models like GPT) means a token can only attend to previous tokens in the sequence, making it suitable for generation. Bidirectional attention (used in encoder-only models like BERT) allows a token to attend to all other tokens (both past and future) in the sequence, ideal for understanding and context-rich tasks.",
