id,title,company,location,salary,type,description,posted,skills
33,Machine Learning Engineer,Infosys,"Jaipur, Rajasthan",$117K - $198K,Remote,Join our AI team to solve challenging problems in computer vision and NLP. You will research state-of-the-art algorithms and adapt them to our specific use cases. The role requires strong software engineering skills to integrate ML models into our existing software ecosystem while ensuring scalability and reliability. Looking for a self-motivated individual who loves solving complex problems.,,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
34,Cloud Architect,Google India,"Bengaluru, Karnataka",$104K - $152K,Remote,"Design and oversee complex cloud architectures on AWS or Azure. Focus on cost-optimization, disaster recovery, and ensuring systems are built for massive scale. You will provide technical leadership for cloud migrations and ensure that our cloud infrastructure follows industry best practices for security and reliability. Looking for a self-motivated individual who loves solving complex problems.",,"AWS, Azure, Cloud Security, Serverless, Infrastructure as Code"
35,Business Analyst,Wipro,"Mumbai, Maharashtra",$87K - $155K,Remote,"As a Business Analyst, you will translate complex business problems into clear technical requirements. You will create process maps, conduct cost-benefit analyses, and work with development teams to ensure successful project delivery. Strong analytical skills and the ability to communicate with both technical and non-technical audiences are key. Be part of a diverse team pushing technological boundaries.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
36,Cybersecurity Analyst,Reliance Digital,"Gurugram, Haryana",$91K - $176K,Full-time,"Ensure the integrity and confidentiality of our data across all platforms. You will design and implement security architectures, manage SIEM systems for real-time monitoring, and oversee our security compliance programs. This role requires a deep understanding of network security, encryption, and modern security operations. Be part of a diverse team pushing technological boundaries.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
37,Mobile App Developer,IBM India,"Ahmedabad, Gujarat",$134K - $175K,Remote,"Develop high-quality mobile applications for both iOS and Android platforms using React Native or Flutter. Focus on performance, smooth animations, and delivering a native-like experience. You will be responsible for integrating with native APIs and ensuring our apps are optimized for a wide range of devices. Be part of a diverse team pushing technological boundaries.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
38,Software Engineer,Mindtree,Remote,$83K - $176K,Remote,"Join our engineering team to solve complex technical challenges. You will apply software design patterns to build reusable libraries and ensure the long-term maintainability of our codebase. This role requires strong problem-solving skills and the ability to work effectively in a collaborative, agile environment. We offer competitive benefits and a remote-friendly culture.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
39,DevOps Engineer,Reliance Digital,"Gurugram, Haryana",$103K - $184K,Part-time,"Join our DevOps team to build and maintain the foundations of our software delivery platform. You will focus on building automated testing environments, implementing centralized logging and tracing, and ensuring our developer experience is world-class through efficient tooling and automation. Be part of a diverse team pushing technological boundaries.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
40,Mobile App Developer,Wipro,"Ahmedabad, Gujarat",$90K - $200K,Remote,"Develop high-quality mobile applications for both iOS and Android platforms using React Native or Flutter. Focus on performance, smooth animations, and delivering a native-like experience. You will be responsible for integrating with native APIs and ensuring our apps are optimized for a wide range of devices. Experience with agile methodologies is preferred for this role.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
41,Cybersecurity Analyst,Google India,"Hyderabad, Telangana",$109K - $173K,Full-time,"Join our security team to harden our applications and infrastructure against attacks. You will perform penetration testing, manage identity and access control systems, and conduct security awareness training for employees. This role involves staying ahead of the latest threat landscape and proactively implementing defense-in-depth strategies. We offer competitive benefits and a remote-friendly culture.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
42,Software Engineer,Cognizant India,"Gurugram, Haryana",$128K - $155K,Full-time,"We are looking for a Software Engineer who is passionate about technical excellence. You will contribute to architecture discussions, implement high-quality features, and help improve our engineering processes. Versatility and a willingness to learn new technologies are more important than deep expertise in a single stack. Be part of a diverse team pushing technological boundaries.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
43,DevOps Engineer,Reliance Digital,"Mumbai, Maharashtra",$124K - $171K,Full-time,"Automate infrastructure deployment and management using AWS, Docker, and Kubernetes. Ensure system reliability, scalability, and security through robust CI/CD pipelines and cloud-native practices. You will be responsible for monitoring system health and responding to incidents in our production environment. Be part of a diverse team pushing technological boundaries.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
44,Machine Learning Engineer,Cognizant India,"Jaipur, Rajasthan",$141K - $183K,Remote,"As an ML Engineer, you will bridge the gap between research and production. You will take prototype models and turn them into scalable, high-performance services. This involves optimizing inference latency, managing large datasets for training, and building automated retraining pipelines. Experience with agile methodologies is preferred for this role.",,"PyTorch, TensorFlow, NLP, Computer Vision, MLOps, Model Deployment"
45,Business Analyst,Amazon India,"Hyderabad, Telangana",$119K - $164K,Full-time,"Help us optimize our operations through data-driven analysis. You will identify areas for process improvement, develop business cases for new initiatives, and measure the impact of our technical solutions. This role requires a deep understanding of our business domain and the ability to use data to drive strategic decisions. Be part of a diverse team pushing technological boundaries.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
46,Business Analyst,Amazon India,"Ahmedabad, Gujarat",$105K - $166K,Remote,"Bridge the gap between business needs and technical solutions. Analyze business processes, gather detailed requirements, and provide data-backed recommendations to improve efficiency. You will work with stakeholders across the company to ensure that our technical projects are aligned with business objectives. Be part of a diverse team pushing technological boundaries.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
47,Product Manager,Reliance Digital,"Bengaluru, Karnataka",$90K - $176K,Full-time,"As a Product Manager, you will be the voice of the customer. You will conduct market research, analyze user feedback, and use data to make informed product decisions. Your goal is to build products that not only solve real problems but also delight our users and drive business growth. Be part of a diverse team pushing technological boundaries.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
48,Software Engineer,L&T Infotech,"Hyderabad, Telangana",$138K - $154K,Part-time,"We are looking for a Software Engineer who is passionate about technical excellence. You will contribute to architecture discussions, implement high-quality features, and help improve our engineering processes. Versatility and a willingness to learn new technologies are more important than deep expertise in a single stack. Experience with agile methodologies is preferred for this role.",,"Java, C++, Spring Boot, SQL, Design Patterns, Unit Testing"
49,DevOps Engineer,Tata Consultancy Services,Remote,$82K - $160K,Part-time,"Automate infrastructure deployment and management using AWS, Docker, and Kubernetes. Ensure system reliability, scalability, and security through robust CI/CD pipelines and cloud-native practices. You will be responsible for monitoring system health and responding to incidents in our production environment. Looking for a self-motivated individual who loves solving complex problems.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
50,DevOps Engineer,Microsoft India,"Kolkata, West Bengal",$109K - $180K,Full-time,"Lead our infrastructure automation efforts to achieve high availability and rapid deployment cycles. You will design and implement infrastructure as code using Terraform, manage container orchestration platforms, and optimize our cloud spending. Experience with security hardening and compliance in the cloud is essential. Join us to make a real impact.",,"AWS, Docker, Kubernetes, Terraform, Jenkins, Monitoring"
51,Android Developer,Mindtree,"Hyderabad, Telangana",$98K - $186K,Full-time,"Join our mobile team to build engaging Android products that reach millions of users. You will work on feature-rich apps, optimize app startup times and battery usage, and ensure compatibility across a wide range of devices and OS versions. This role involves collaborating with product and design teams to deliver polished, user-centric features. We offer competitive benefits and a remote-friendly culture.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
52,Android Developer,HCL Technologies,"Kolkata, West Bengal",$105K - $183K,Full-time,"Develop robust Android applications using Kotlin and modern Jetpack components. Focus on performance, memory management, and implementing Material Design principles to create a premium user experience. You will be responsible for the entire development lifecycle, from UI implementation to integrating with backend APIs. Be part of a diverse team pushing technological boundaries.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
53,Senior Frontend Developer,Wipro,"Hyderabad, Telangana",$105K - $196K,Full-time,"As a Senior Frontend Developer, you will drive the technical direction of our client-side applications. We are looking for an expert in React and TypeScript who can build scalable architectures and lead complex feature implementations. You will be responsible for setting coding standards, performing code reviews, and collaborating with backend engineers to define efficient API contracts. Looking for a self-motivated individual who loves solving complex problems.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
54,Data Scientist,Wipro,"Kolkata, West Bengal",$99K - $154K,Part-time,"Help us leverage data to gain a competitive advantage. You will design experiments, build automated reporting dashboards, and develop sophisticated algorithms to understand user behavior. This role requires the ability to translate complex data results into actionable business strategies and product improvements. Join us to make a real impact.",,"Python, R, SQL, Pandas, Scikit-Learn, Data Visualization"
55,UI/UX Designer,Infosys,"Jaipur, Rajasthan",$110K - $199K,Full-time,"Design intuitive and beautiful user experiences for our web and mobile applications. Conduct user research, create high-fidelity prototypes in Figma, and collaborate with developers to ensure faithful implementation of your designs. You will define the visual language and interaction patterns for our entire product suite. Looking for a self-motivated individual who loves solving complex problems.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
56,Senior Frontend Developer,Amazon India,"Jaipur, Rajasthan",$111K - $187K,Part-time,"As a Senior Frontend Developer, you will drive the technical direction of our client-side applications. We are looking for an expert in React and TypeScript who can build scalable architectures and lead complex feature implementations. You will be responsible for setting coding standards, performing code reviews, and collaborating with backend engineers to define efficient API contracts. Join us to make a real impact.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
57,UI/UX Designer,Infosys,"Jaipur, Rajasthan",$146K - $162K,Remote,Drive the design vision of our platform. You will be responsible for creating a cohesive design system that scales across multiple products and platforms. Strong communication skills are essential as you will present your design decisions to stakeholders and work closely with engineering to bring them to life. Join us to make a real impact.,,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
58,Product Manager,L&T Infotech,"Jaipur, Rajasthan",$84K - $184K,Full-time,"Define the product vision and strategy for our core features. Work closely with engineering, design, and business teams to prioritize the roadmap and deliver maximum value to users. You will be responsible for gathering requirements, writing user stories, and managing the product lifecycle from concept to launch. Experience with agile methodologies is preferred for this role.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
59,Mobile App Developer,Google India,"Ahmedabad, Gujarat",$98K - $168K,Remote,"Join our mobile team to create engaging user experiences on smartphones and tablets. You will build feature-rich applications, implement offline sync capabilities, and ensure our mobile products are stable and secure. Experience with mobile CI/CD and publishing to App Store and Google Play is required. Join us to make a real impact.",,"React Native, Flutter, Firebase, Mobile UI Design, App Store Optimization"
60,Backend Engineer,Amazon India,"Bengaluru, Karnataka",$119K - $177K,Full-time,"Architect and maintain the server-side logic of our cloud-based platforms. You will focus on building RESTful and gRPC APIs, managing relational and NoSQL databases, and ensuring high availability across multiple regions. This role involves deep dives into system performance tuning and implementing comprehensive monitoring solutions. Be part of a diverse team pushing technological boundaries.",,"Node.js, Python, PostgreSQL, Redis, Microservices, gRPC"
61,iOS Developer,IBM India,"Gurugram, Haryana",$133K - $186K,Part-time,"Build premium iOS applications for iPhone and iPad using Swift and SwiftUI. Focus on elegant code, Apple's Human Interface Guidelines, and integrating with advanced iOS features like Widgets and Core ML. You will ensure our apps are responsive, accessible, and take full advantage of the latest iOS capabilities. Join us to make a real impact.",,"Swift, SwiftUI, Objective-C, Core Data, XCode, iOS SDK"
62,UI/UX Designer,Amazon India,"Chennai, Tamil Nadu",$107K - $185K,Part-time,"We are seeking a UI/UX Designer who can balance aesthetics with usability. You will create user flows, wireframes, and final mockups that solve complex user problems simply. This role involves constant iteration based on user feedback and data, ensuring our products are always evolving to meet user needs. We offer competitive benefits and a remote-friendly culture.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
63,Business Analyst,Flipkart,"Chennai, Tamil Nadu",$116K - $167K,Remote,"Help us optimize our operations through data-driven analysis. You will identify areas for process improvement, develop business cases for new initiatives, and measure the impact of our technical solutions. This role requires a deep understanding of our business domain and the ability to use data to drive strategic decisions. Be part of a diverse team pushing technological boundaries.",,"SQL, Tableau, Excel, Requirement Gathering, Process Improvement"
64,Full Stack Developer,Reliance Digital,"Gurugram, Haryana",$92K - $180K,Remote,"End-to-end development of web applications using the MERN stack. Handle everything from database design and server-side logic to building interactive frontend components with React. You will be responsible for the entire feature lifecycle, ensuring a cohesive and performant experience across the full application stack. Looking for a self-motivated individual who loves solving complex problems.",,"React, Node.js, MongoDB, Express.js, GraphQL, AWS"
65,UI/UX Designer,Wipro,"Mumbai, Maharashtra",$103K - $157K,Remote,"We are seeking a UI/UX Designer who can balance aesthetics with usability. You will create user flows, wireframes, and final mockups that solve complex user problems simply. This role involves constant iteration based on user feedback and data, ensuring our products are always evolving to meet user needs. Join us to make a real impact.",,"Figma, Adobe XD, User Research, Prototyping, Wireframing, Visual Design"
66,Senior Frontend Developer,Microsoft India,"Hyderabad, Telangana",$105K - $200K,Full-time,"Join our engineering team to build the next generation of web interfaces. You will focus on building reusable component libraries, implementing advanced state management patterns, and ensuring our applications are accessible and performant. This role requires a deep understanding of browser internals and modern CSS techniques to deliver a premium user experience. Experience with agile methodologies is preferred for this role.",,"React, TypeScript, Next.js, Tailwind CSS, Redux, Web Performance"
67,Cloud Architect,IBM India,"Chennai, Tamil Nadu",$141K - $162K,Remote,"Design and oversee complex cloud architectures on AWS or Azure. Focus on cost-optimization, disaster recovery, and ensuring systems are built for massive scale. You will provide technical leadership for cloud migrations and ensure that our cloud infrastructure follows industry best practices for security and reliability. We offer competitive benefits and a remote-friendly culture.",,"AWS, Azure, Cloud Security, Serverless, Infrastructure as Code"
68,Full Stack Developer,Reliance Digital,Remote,$112K - $154K,Part-time,"We are seeking a Full Stack Developer to build modern web solutions. You will work on both the client and server sides, implementing responsive designs and scalable API services. This role requires versatility and the ability to switch contexts quickly while maintaining high code quality and architectural integrity. Experience with agile methodologies is preferred for this role.",,"React, Node.js, MongoDB, Express.js, GraphQL, AWS"
69,Android Developer,Flipkart,"Pune, Maharashtra",$140K - $178K,Full-time,"Join our mobile team to build engaging Android products that reach millions of users. You will work on feature-rich apps, optimize app startup times and battery usage, and ensure compatibility across a wide range of devices and OS versions. This role involves collaborating with product and design teams to deliver polished, user-centric features. Looking for a self-motivated individual who loves solving complex problems.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
70,QA Engineer,Cognizant India,"Mumbai, Maharashtra",$91K - $155K,Full-time,"Ensure the highest quality of software products through comprehensive automated and manual testing. Develop automated test suites using Selenium or Cypress, perform regression testing, and track bug reports from identification to resolution. You will be the advocate for quality throughout the development process. Be part of a diverse team pushing technological boundaries.",,"Selenium, Cypress, Jest, Manual Testing, API Testing, Load Testing"
71,Full Stack Developer,Mindtree,"Ahmedabad, Gujarat",$107K - $161K,Full-time,"We are seeking a Full Stack Developer to build modern web solutions. You will work on both the client and server sides, implementing responsive designs and scalable API services. This role requires versatility and the ability to switch contexts quickly while maintaining high code quality and architectural integrity. We offer competitive benefits and a remote-friendly culture.",,"React, Node.js, MongoDB, Express.js, GraphQL, AWS"
72,Cybersecurity Analyst,Reliance Digital,"Ahmedabad, Gujarat",$126K - $179K,Full-time,"Ensure the integrity and confidentiality of our data across all platforms. You will design and implement security architectures, manage SIEM systems for real-time monitoring, and oversee our security compliance programs. This role requires a deep understanding of network security, encryption, and modern security operations. We offer competitive benefits and a remote-friendly culture.",,"Network Security, Penetration Testing, SIEM, Incident Response, Compliance"
73,Android Developer,Cognizant India,"Gurugram, Haryana",$141K - $161K,Part-time,"Develop robust Android applications using Kotlin and modern Jetpack components. Focus on performance, memory management, and implementing Material Design principles to create a premium user experience. You will be responsible for the entire development lifecycle, from UI implementation to integrating with backend APIs. We offer competitive benefits and a remote-friendly culture.",,"Kotlin, Java, Jetpack Compose, Android SDK, Retrofit, Coroutines"
74,Product Manager,L&T Infotech,"Mumbai, Maharashtra",$114K - $193K,Full-time,"As a Product Manager, you will be the voice of the customer. You will conduct market research, analyze user feedback, and use data to make informed product decisions. Your goal is to build products that not only solve real problems but also delight our users and drive business growth. We offer competitive benefits and a remote-friendly culture.",,"Agile, Product Roadmap, User Stories, Market Research, Data Analytics"
